idade,horas_estudo_por_dia,frequencia_percentual,escolaridade_dos_pais,nota_matematica,nota_ciencias,nota_ingles,media_ano_anterior,percentual_final
14,3.6,58.0,Postgraduate,71.0,96.0,67.0,49.0,78.0
17,,76.0,High School,60.0,49.0,83.0,79.0,64.0
15,2.9,57.0,Postgraduate,85.0,71.0,67.0,78.0,74.33
18,5.7,84.0,Graduate,56.0,85.0,75.0,65.0,72.0
17,2.2,67.0,Postgraduate,78.0,49.0,,46.0,71.67
14,1.3,50.0,High School,47.0,62.0,,94.0,58.0
14,,57.0,High School,48.0,77.0,89.0,45.0,71.33
16,1.9,91.0,,52.0,99.0,44.0,44.0,65.0
18,1.3,87.0,Graduate,38.0,97.0,75.0,86.0,70.0
16,4.5,,Postgraduate,81.0,76.0,62.0,90.0,73.0
14,2.4,82.0,Graduate,73.0,59.0,93.0,81.0,75.0
14,2.3,98.0,High School,45.0,38.0,38.0,41.0,40.33
14,,60.0,Postgraduate,36.0,100.0,90.0,45.0,75.33
15,5.7,92.0,,56.0,39.0,46.0,48.0,47.0
17,5.6,68.0,Graduate,100.0,66.0,94.0,46.0,86.67
17,3.1,60.0,Graduate,71.0,74.0,42.0,61.0,62.33
19,2.6,,High School,40.0,41.0,84.0,,55.0
14,3.5,93.0,High School,48.0,79.0,64.0,73.0,63.67
16,0.8,55.0,High School,57.0,35.0,75.0,56.0,55.67
18,4.2,,High School,63.0,41.0,53.0,43.0,52.33
19,2.9,,High School,42.0,61.0,,59.0,50.33
18,4.3,50.0,High School,61.0,51.0,70.0,71.0,60.67
18,4.1,50.0,High School,99.0,70.0,39.0,83.0,69.33
19,3.9,,Postgraduate,95.0,79.0,83.0,,85.67
19,2.3,73.0,Graduate,50.0,47.0,61.0,44.0,52.67
19,0.5,75.0,Postgraduate,50.0,98.0,68.0,88.0,72.0
14,2.3,66.0,High School,60.0,,36.0,,48.33
15,,52.0,High School,85.0,78.0,55.0,94.0,72.67
14,5.8,,Postgraduate,46.0,77.0,76.0,54.0,66.33
17,,70.0,High School,76.0,76.0,79.0,44.0,77.0
18,5.3,92.0,Graduate,91.0,37.0,78.0,77.0,68.67
17,5.1,90.0,Graduate,71.0,92.0,36.0,67.0,66.33
14,1.9,89.0,Graduate,,,81.0,41.0,79.33
14,5.3,61.0,High School,97.0,36.0,57.0,95.0,63.33
15,3.5,72.0,Postgraduate,77.0,73.0,65.0,88.0,71.67
15,2.2,67.0,Graduate,,,47.0,87.0,69.0
16,0.7,57.0,High School,75.0,59.0,54.0,58.0,62.67
18,0.9,76.0,High School,49.0,44.0,93.0,78.0,62.0
16,,79.0,Postgraduate,,88.0,96.0,75.0,90.0
17,3.2,88.0,Postgraduate,70.0,,47.0,87.0,52.33
15,4.5,74.0,,72.0,100.0,87.0,55.0,86.33
15,2.6,66.0,Graduate,65.0,56.0,49.0,62.0,56.67
16,3.7,51.0,Postgraduate,47.0,77.0,52.0,82.0,58.67
18,5.9,55.0,Postgraduate,,43.0,91.0,95.0,75.0
19,0.8,68.0,Graduate,55.0,96.0,75.0,51.0,75.33
14,3.4,77.0,Graduate,,61.0,47.0,66.0,65.0
19,4.3,77.0,High School,69.0,68.0,98.0,57.0,78.33
15,5.1,76.0,High School,94.0,69.0,74.0,,79.0
18,4.5,55.0,Graduate,46.0,45.0,,59.0,43.33
18,5.6,66.0,,43.0,85.0,92.0,77.0,73.33
18,0.6,99.0,Graduate,90.0,85.0,75.0,72.0,83.33
19,5.6,,Graduate,96.0,65.0,69.0,46.0,76.67
19,4.1,94.0,High School,36.0,,59.0,77.0,59.0
14,5.0,72.0,,59.0,42.0,68.0,72.0,56.33
17,2.3,66.0,Graduate,45.0,89.0,71.0,75.0,68.33
15,2.5,63.0,High School,49.0,40.0,100.0,92.0,63.0
17,4.9,61.0,Postgraduate,70.0,41.0,96.0,51.0,69.0
19,,74.0,Postgraduate,83.0,89.0,100.0,73.0,90.67
19,2.5,85.0,Graduate,72.0,96.0,91.0,65.0,86.33
15,0.8,75.0,Postgraduate,71.0,99.0,57.0,69.0,75.67
19,1.7,100.0,Graduate,89.0,,85.0,83.0,74.67
18,1.2,84.0,Postgraduate,47.0,93.0,93.0,82.0,77.67
14,2.7,,Postgraduate,59.0,49.0,74.0,84.0,60.67
15,1.1,97.0,,72.0,78.0,92.0,75.0,80.67
19,3.9,72.0,,79.0,49.0,59.0,78.0,62.33
19,1.5,83.0,Graduate,81.0,93.0,73.0,62.0,82.33
16,2.3,,Postgraduate,94.0,71.0,83.0,90.0,82.67
17,5.5,60.0,Postgraduate,81.0,84.0,,,87.33
14,5.1,85.0,Graduate,56.0,90.0,86.0,53.0,77.33
15,5.7,89.0,,96.0,52.0,,45.0,69.0
16,5.7,60.0,Postgraduate,97.0,77.0,41.0,89.0,71.67
15,4.7,76.0,Postgraduate,80.0,52.0,,50.0,67.33
14,1.4,94.0,Graduate,46.0,65.0,82.0,,64.33
19,4.3,56.0,High School,,99.0,97.0,57.0,93.0
19,,82.0,Graduate,51.0,48.0,44.0,88.0,47.67
19,1.4,54.0,Postgraduate,96.0,56.0,50.0,41.0,67.33
19,5.3,91.0,Postgraduate,65.0,,65.0,80.0,60.33
19,,59.0,Postgraduate,72.0,45.0,40.0,44.0,52.33
16,5.2,99.0,High School,,57.0,78.0,43.0,66.0
17,5.0,71.0,Postgraduate,56.0,61.0,42.0,91.0,53.0
15,3.4,83.0,Postgraduate,70.0,40.0,97.0,,69.0
17,4.4,72.0,Postgraduate,77.0,42.0,99.0,76.0,72.67
17,3.2,98.0,,62.0,81.0,64.0,84.0,69.0
17,5.4,84.0,Graduate,71.0,82.0,81.0,66.0,78.0
16,3.6,86.0,High School,87.0,47.0,39.0,73.0,57.67
17,0.6,55.0,Postgraduate,40.0,100.0,97.0,79.0,79.0
16,5.6,75.0,Graduate,44.0,60.0,51.0,80.0,51.67
17,2.8,98.0,High School,49.0,47.0,75.0,43.0,57.0
16,0.7,71.0,Graduate,43.0,60.0,70.0,54.0,57.67
18,2.5,97.0,High School,77.0,,36.0,52.0,64.67
18,3.7,,High School,39.0,79.0,62.0,82.0,60.0
19,1.1,74.0,High School,40.0,63.0,72.0,64.0,58.33
17,5.7,63.0,High School,88.0,62.0,77.0,42.0,75.67
17,2.4,53.0,Graduate,94.0,37.0,68.0,81.0,66.33
14,5.0,55.0,Postgraduate,65.0,81.0,59.0,67.0,68.33
19,1.9,60.0,Postgraduate,78.0,62.0,38.0,44.0,59.33
16,0.8,75.0,Graduate,44.0,70.0,73.0,88.0,62.33
19,,60.0,Graduate,51.0,61.0,53.0,44.0,55.0
16,5.7,72.0,Postgraduate,,79.0,98.0,,75.0
18,5.8,89.0,High School,91.0,48.0,,,69.0
16,,58.0,Graduate,41.0,67.0,85.0,69.0,64.33
14,5.6,,High School,,69.0,41.0,45.0,61.67
14,5.2,,High School,35.0,84.0,96.0,61.0,71.67
18,1.1,82.0,Postgraduate,55.0,48.0,35.0,68.0,46.0
14,4.2,54.0,,64.0,61.0,87.0,49.0,70.67
18,4.3,71.0,Graduate,45.0,45.0,60.0,43.0,50.0
18,3.1,87.0,High School,93.0,89.0,35.0,80.0,72.33
19,3.0,78.0,Postgraduate,80.0,55.0,53.0,77.0,62.67
15,1.7,68.0,Graduate,64.0,57.0,56.0,62.0,59.0
17,3.1,82.0,Graduate,61.0,48.0,62.0,65.0,57.0
19,1.1,94.0,Postgraduate,72.0,85.0,71.0,92.0,76.0
16,3.7,73.0,Postgraduate,42.0,81.0,95.0,,72.67
19,4.4,81.0,Graduate,47.0,75.0,65.0,58.0,62.33
17,2.5,79.0,High School,69.0,88.0,61.0,43.0,72.67
16,4.6,84.0,High School,62.0,70.0,43.0,46.0,58.33
18,1.7,77.0,Graduate,61.0,,97.0,74.0,75.33
19,3.8,78.0,High School,94.0,65.0,41.0,92.0,66.67
16,1.4,61.0,Postgraduate,72.0,42.0,61.0,81.0,58.33
15,3.5,93.0,Graduate,78.0,50.0,94.0,88.0,74.0
18,1.4,89.0,Postgraduate,98.0,43.0,57.0,62.0,66.0
19,4.6,93.0,Graduate,38.0,68.0,79.0,50.0,61.67
15,3.1,97.0,,78.0,45.0,58.0,77.0,60.33
16,1.4,67.0,Postgraduate,53.0,52.0,84.0,89.0,63.0
19,5.5,94.0,Graduate,88.0,42.0,84.0,80.0,71.33
14,3.5,84.0,Graduate,39.0,58.0,46.0,41.0,47.67
14,2.6,88.0,High School,,39.0,73.0,42.0,70.33
19,0.6,,Graduate,69.0,37.0,69.0,65.0,58.33
15,2.0,93.0,High School,65.0,99.0,47.0,68.0,70.33
17,1.3,50.0,Postgraduate,84.0,53.0,79.0,66.0,72.0
17,4.7,53.0,Postgraduate,76.0,65.0,91.0,41.0,77.33
15,1.3,99.0,Graduate,36.0,39.0,51.0,65.0,42.0
15,1.4,57.0,Graduate,89.0,39.0,87.0,84.0,71.67
17,4.8,56.0,Graduate,62.0,64.0,74.0,56.0,66.67
17,1.7,83.0,Graduate,42.0,62.0,,62.0,50.33
15,,75.0,Postgraduate,,,98.0,,86.0
15,4.6,89.0,Postgraduate,35.0,91.0,42.0,41.0,56.0
16,5.5,52.0,Graduate,56.0,90.0,76.0,87.0,74.0
14,,51.0,,87.0,95.0,35.0,43.0,72.33
19,5.7,63.0,Graduate,99.0,58.0,86.0,56.0,81.0
14,3.9,50.0,Postgraduate,65.0,51.0,61.0,82.0,59.0
18,2.3,98.0,Graduate,,97.0,69.0,66.0,75.67
18,1.9,59.0,Graduate,93.0,46.0,86.0,44.0,75.0
19,4.1,56.0,Graduate,83.0,67.0,86.0,56.0,78.67
17,4.7,71.0,Graduate,,36.0,49.0,54.0,51.33
14,0.5,88.0,Graduate,66.0,,95.0,63.0,80.33
18,1.8,91.0,Graduate,88.0,70.0,74.0,56.0,77.33
19,5.7,51.0,High School,63.0,37.0,96.0,75.0,65.33
15,5.1,91.0,Graduate,78.0,88.0,81.0,81.0,82.33
14,2.4,,High School,55.0,43.0,74.0,81.0,57.33
16,3.6,53.0,Graduate,76.0,50.0,68.0,88.0,64.67
14,2.1,61.0,Graduate,55.0,69.0,68.0,57.0,64.0
19,1.0,86.0,Graduate,65.0,83.0,80.0,46.0,76.0
17,3.1,58.0,Postgraduate,96.0,,71.0,84.0,88.33
16,2.9,53.0,,54.0,63.0,41.0,88.0,52.67
15,4.6,,Postgraduate,40.0,86.0,59.0,,61.67
17,6.0,97.0,Postgraduate,63.0,79.0,48.0,74.0,63.33
18,2.9,87.0,Graduate,38.0,52.0,50.0,64.0,46.67
14,1.9,75.0,High School,72.0,95.0,70.0,76.0,79.0
14,1.0,74.0,Graduate,93.0,,64.0,,71.67
18,2.5,98.0,High School,47.0,74.0,76.0,73.0,65.67
19,3.9,74.0,Postgraduate,43.0,37.0,73.0,68.0,51.0
19,5.6,97.0,High School,99.0,84.0,86.0,,89.67
15,4.0,63.0,Graduate,94.0,96.0,49.0,88.0,79.67
15,3.9,67.0,High School,87.0,52.0,,93.0,59.0
15,2.6,,High School,78.0,,83.0,69.0,83.67
19,1.3,56.0,High School,75.0,72.0,97.0,53.0,81.33
16,,54.0,High School,72.0,83.0,80.0,41.0,78.33
19,5.8,,Postgraduate,35.0,,,59.0,59.67
16,0.6,91.0,Postgraduate,45.0,,98.0,63.0,65.0
18,5.9,89.0,Postgraduate,47.0,65.0,57.0,65.0,56.33
18,1.9,57.0,Graduate,58.0,60.0,94.0,,70.67
14,3.1,88.0,Graduate,64.0,78.0,36.0,93.0,59.33
17,2.8,64.0,Graduate,54.0,72.0,89.0,73.0,71.67
19,,91.0,Postgraduate,49.0,99.0,67.0,60.0,71.67
19,5.8,95.0,Graduate,67.0,50.0,37.0,55.0,51.33
18,0.9,97.0,High School,52.0,99.0,83.0,44.0,78.0
17,3.7,95.0,High School,58.0,41.0,48.0,85.0,49.0
19,1.8,89.0,Postgraduate,36.0,58.0,59.0,42.0,51.0
19,4.3,59.0,,65.0,53.0,73.0,56.0,63.67
16,3.8,62.0,High School,77.0,67.0,38.0,59.0,60.67
19,0.8,51.0,High School,70.0,44.0,,69.0,52.67
17,5.9,88.0,,73.0,58.0,,77.0,55.67
16,3.3,67.0,High School,65.0,82.0,67.0,56.0,71.33
16,2.1,65.0,High School,41.0,67.0,,45.0,58.0
15,5.4,60.0,,38.0,91.0,67.0,57.0,65.33
18,3.1,,High School,75.0,63.0,37.0,41.0,58.33
14,4.4,54.0,Graduate,62.0,77.0,96.0,84.0,78.33
18,0.8,90.0,High School,,85.0,35.0,58.0,63.0
16,3.9,84.0,High School,89.0,58.0,52.0,44.0,66.33
14,3.8,88.0,Graduate,67.0,57.0,36.0,54.0,53.33
15,1.3,55.0,Graduate,50.0,37.0,46.0,67.0,44.33
15,3.3,53.0,Postgraduate,38.0,68.0,96.0,77.0,67.33
17,0.8,,High School,56.0,35.0,73.0,95.0,54.67
19,3.9,55.0,Postgraduate,67.0,50.0,60.0,62.0,59.0
15,2.0,83.0,,,83.0,99.0,60.0,80.0
18,2.1,83.0,Graduate,37.0,95.0,59.0,74.0,63.67
14,1.7,97.0,High School,81.0,47.0,53.0,53.0,60.33
15,1.0,76.0,Graduate,43.0,76.0,89.0,40.0,69.33
14,2.1,58.0,Graduate,62.0,87.0,66.0,72.0,71.67
18,1.6,65.0,High School,45.0,45.0,48.0,,46.0
14,0.7,85.0,Postgraduate,59.0,95.0,98.0,60.0,84.0
14,3.3,80.0,Postgraduate,69.0,60.0,75.0,65.0,68.0
16,0.9,73.0,Graduate,45.0,88.0,37.0,76.0,56.67
19,4.5,89.0,Graduate,61.0,83.0,,82.0,61.33
16,1.1,58.0,Graduate,73.0,41.0,,82.0,50.67
16,2.0,71.0,Postgraduate,76.0,80.0,85.0,92.0,80.33
17,5.2,57.0,Postgraduate,89.0,56.0,93.0,77.0,79.33
17,0.5,100.0,Graduate,71.0,95.0,87.0,67.0,84.33
16,3.8,77.0,Graduate,41.0,,,,60.33
17,1.0,97.0,Graduate,67.0,,84.0,67.0,69.33
14,0.9,83.0,Postgraduate,79.0,38.0,69.0,57.0,62.0
16,2.8,79.0,Graduate,96.0,46.0,84.0,95.0,75.33
16,3.6,54.0,Postgraduate,46.0,75.0,67.0,,62.67
17,5.9,50.0,Graduate,,98.0,62.0,85.0,81.0
16,,90.0,High School,59.0,68.0,66.0,63.0,64.33
18,5.4,51.0,Postgraduate,84.0,46.0,36.0,66.0,55.33
14,0.8,,Graduate,94.0,100.0,,53.0,84.0
15,0.6,87.0,Graduate,67.0,63.0,,50.0,70.0
14,4.8,60.0,Postgraduate,38.0,51.0,71.0,85.0,53.33
15,,65.0,Postgraduate,,95.0,,58.0,66.0
14,,61.0,,53.0,38.0,35.0,43.0,42.0
17,0.7,,High School,93.0,89.0,42.0,60.0,74.67
18,3.6,,Postgraduate,37.0,40.0,,50.0,39.67
16,2.6,94.0,High School,79.0,93.0,81.0,77.0,84.33
19,3.5,96.0,High School,81.0,51.0,80.0,66.0,70.67
15,2.8,75.0,High School,61.0,73.0,59.0,48.0,64.33
18,1.4,92.0,High School,64.0,69.0,84.0,95.0,72.33
18,3.6,95.0,,95.0,75.0,90.0,45.0,86.67
14,5.9,,High School,47.0,47.0,52.0,47.0,48.67
19,,88.0,High School,97.0,42.0,96.0,78.0,78.33
18,4.2,,Graduate,100.0,47.0,48.0,53.0,65.0
18,1.9,95.0,Postgraduate,61.0,72.0,97.0,79.0,76.67
15,4.2,55.0,High School,96.0,91.0,69.0,72.0,85.33
18,0.5,65.0,Postgraduate,66.0,59.0,67.0,58.0,64.0
15,1.1,65.0,High School,57.0,77.0,37.0,79.0,57.0
17,2.8,99.0,Graduate,88.0,60.0,84.0,69.0,77.33
18,1.9,52.0,High School,52.0,46.0,95.0,76.0,64.33
18,3.1,80.0,High School,92.0,71.0,,92.0,79.0
18,1.9,95.0,Graduate,46.0,91.0,97.0,51.0,78.0
14,3.0,93.0,High School,93.0,44.0,81.0,46.0,72.67
18,,84.0,Postgraduate,41.0,47.0,,50.0,45.0
15,,70.0,Postgraduate,94.0,,55.0,53.0,63.0
14,5.2,60.0,,73.0,96.0,56.0,60.0,75.0
14,1.6,72.0,High School,95.0,,78.0,76.0,70.33
19,2.4,70.0,Graduate,81.0,40.0,58.0,85.0,59.67
19,2.2,100.0,High School,78.0,67.0,39.0,77.0,61.33
18,4.7,65.0,Postgraduate,93.0,50.0,,56.0,77.33
17,1.2,83.0,Graduate,91.0,46.0,,83.0,58.0
14,5.5,92.0,High School,73.0,70.0,,66.0,77.67
14,1.0,78.0,Postgraduate,,40.0,39.0,69.0,48.67
14,2.0,52.0,Postgraduate,55.0,40.0,73.0,,56.0
18,4.6,63.0,High School,76.0,73.0,98.0,86.0,82.33
14,5.8,81.0,,89.0,,45.0,89.0,77.33
15,1.7,,Postgraduate,56.0,36.0,76.0,53.0,56.0
19,3.3,79.0,Graduate,69.0,83.0,,56.0,78.33
16,4.8,87.0,Graduate,,45.0,77.0,67.0,65.67
15,3.1,73.0,High School,63.0,53.0,69.0,61.0,61.67
18,5.3,63.0,Graduate,,79.0,99.0,44.0,91.33
18,1.8,53.0,Graduate,35.0,89.0,100.0,46.0,74.67
14,1.7,81.0,Graduate,,58.0,65.0,60.0,58.33
16,3.7,95.0,Graduate,52.0,57.0,53.0,94.0,54.0
15,,95.0,Graduate,58.0,81.0,70.0,48.0,69.67
16,4.2,63.0,Graduate,67.0,83.0,70.0,71.0,73.33
16,,91.0,Postgraduate,42.0,79.0,55.0,86.0,58.67
18,,81.0,Graduate,95.0,70.0,85.0,43.0,83.33
18,1.1,70.0,High School,78.0,,58.0,46.0,75.67
17,3.5,70.0,Postgraduate,98.0,94.0,41.0,90.0,77.67
19,2.3,87.0,Postgraduate,89.0,48.0,37.0,80.0,58.0
19,2.4,,High School,96.0,89.0,43.0,,76.0
19,5.7,52.0,High School,82.0,87.0,,94.0,75.33
19,2.5,95.0,Postgraduate,92.0,56.0,81.0,77.0,76.33
15,2.9,90.0,Graduate,89.0,72.0,,48.0,65.67
14,2.0,94.0,Graduate,42.0,59.0,,47.0,50.0
18,4.8,58.0,Postgraduate,61.0,65.0,49.0,45.0,58.33
18,3.0,94.0,Postgraduate,37.0,86.0,95.0,48.0,72.67
14,3.4,,High School,36.0,54.0,75.0,57.0,55.0
17,,77.0,Postgraduate,40.0,99.0,73.0,44.0,70.67
15,1.7,65.0,Postgraduate,35.0,80.0,,83.0,51.33
15,1.6,67.0,High School,36.0,75.0,,,57.67
19,3.0,69.0,High School,49.0,42.0,49.0,83.0,46.67
17,4.3,100.0,High School,83.0,98.0,59.0,61.0,80.0
14,0.5,70.0,High School,72.0,57.0,52.0,75.0,60.33
16,5.0,76.0,Postgraduate,56.0,83.0,100.0,68.0,79.67
19,,61.0,Graduate,37.0,67.0,93.0,53.0,65.67
14,4.4,50.0,,,39.0,55.0,80.0,47.33
16,,56.0,Graduate,51.0,82.0,68.0,79.0,67.0
19,1.7,90.0,Graduate,73.0,55.0,45.0,46.0,57.67
17,1.9,93.0,Postgraduate,62.0,74.0,58.0,94.0,64.67
18,2.2,73.0,Postgraduate,98.0,59.0,83.0,77.0,80.0
18,5.9,73.0,Graduate,97.0,45.0,59.0,90.0,67.0
15,5.6,90.0,High School,89.0,57.0,74.0,53.0,73.33
14,1.8,57.0,Graduate,63.0,,85.0,40.0,64.0
14,3.0,59.0,Postgraduate,80.0,79.0,62.0,44.0,73.67
18,3.3,78.0,,95.0,59.0,76.0,49.0,76.67
17,3.9,50.0,Postgraduate,36.0,94.0,96.0,51.0,75.33
15,3.4,98.0,High School,100.0,41.0,78.0,61.0,73.0
18,1.5,69.0,High School,59.0,93.0,,63.0,64.67
15,4.8,56.0,Graduate,74.0,94.0,98.0,55.0,88.67
16,,63.0,Graduate,82.0,37.0,37.0,,52.0
15,3.9,66.0,Postgraduate,36.0,92.0,35.0,76.0,54.33
16,,93.0,Postgraduate,64.0,74.0,46.0,83.0,61.33
18,3.7,91.0,High School,80.0,35.0,49.0,65.0,54.67
19,1.0,64.0,High School,72.0,54.0,37.0,70.0,54.33
16,,72.0,High School,,83.0,47.0,81.0,63.0
15,3.5,59.0,Postgraduate,56.0,64.0,40.0,54.0,53.33
17,3.6,51.0,Postgraduate,85.0,83.0,95.0,62.0,87.67
15,,85.0,High School,62.0,83.0,72.0,90.0,72.33
15,5.6,98.0,High School,52.0,93.0,98.0,67.0,81.0
17,3.0,100.0,Graduate,38.0,84.0,67.0,47.0,63.0
18,2.3,80.0,Graduate,,43.0,55.0,56.0,54.0
15,1.9,78.0,Graduate,81.0,35.0,62.0,93.0,59.33
14,5.6,85.0,High School,83.0,61.0,56.0,53.0,66.67
19,1.4,,Postgraduate,57.0,41.0,94.0,60.0,64.0
14,5.7,94.0,Postgraduate,85.0,93.0,90.0,56.0,89.33
14,1.4,73.0,High School,63.0,93.0,68.0,58.0,74.67
14,4.6,94.0,Graduate,72.0,37.0,,48.0,66.0
15,0.9,55.0,Graduate,65.0,100.0,64.0,92.0,76.33
16,5.4,95.0,Graduate,44.0,56.0,86.0,95.0,62.0
19,5.7,60.0,Postgraduate,76.0,91.0,36.0,45.0,67.67
14,4.6,71.0,Graduate,94.0,80.0,79.0,82.0,84.33
19,5.4,61.0,Postgraduate,83.0,76.0,46.0,84.0,68.33
16,3.8,100.0,Graduate,71.0,55.0,83.0,58.0,69.67
17,4.7,72.0,High School,42.0,58.0,,65.0,47.33
18,2.6,79.0,,63.0,65.0,52.0,72.0,60.0
16,1.0,69.0,High School,98.0,81.0,43.0,93.0,74.0
18,5.1,80.0,Graduate,42.0,37.0,44.0,42.0,41.0
17,3.5,64.0,Postgraduate,50.0,64.0,62.0,46.0,58.67
17,5.5,54.0,Graduate,65.0,92.0,36.0,43.0,64.33
16,5.9,98.0,Graduate,84.0,100.0,45.0,42.0,76.33
15,1.8,58.0,Graduate,89.0,38.0,,75.0,58.33
14,2.5,56.0,Graduate,41.0,49.0,50.0,,46.67
17,3.7,59.0,Graduate,,,74.0,66.0,73.0
14,5.5,52.0,Graduate,58.0,63.0,47.0,59.0,56.0
18,5.4,77.0,Postgraduate,54.0,36.0,73.0,79.0,54.33
15,2.2,63.0,Postgraduate,89.0,87.0,95.0,40.0,90.33
16,3.0,68.0,Postgraduate,81.0,52.0,38.0,73.0,57.0
19,,78.0,High School,44.0,83.0,95.0,55.0,74.0
17,5.1,61.0,High School,61.0,82.0,84.0,48.0,75.67
18,4.4,93.0,Postgraduate,71.0,88.0,47.0,74.0,68.67
19,1.6,53.0,Postgraduate,,77.0,41.0,82.0,64.0
19,0.6,87.0,Graduate,62.0,37.0,87.0,40.0,62.0
15,4.0,92.0,Graduate,92.0,86.0,63.0,65.0,80.33
17,4.0,,Postgraduate,93.0,69.0,86.0,52.0,82.67
15,3.5,,Postgraduate,92.0,,52.0,80.0,70.0
16,3.3,93.0,Postgraduate,62.0,47.0,64.0,48.0,57.67
17,3.4,64.0,Postgraduate,68.0,45.0,43.0,79.0,52.0
